router,routerGeneration,txHash,blockNumber,txFrom,routerCaller,victim,victimToken,attackerToken,rawAmount,traceAddress
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,0
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,1
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,10
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,11
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,12
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,13
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,14
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,15
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,16
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,17
0x8CCB1ffD5C2aa6Bd926473425Dea4c8c15DE60fd,V2,0x770bc9a1f7c32cb63a5002b9ceb5c7994cd3af0fc6b2309cb32d3c46f629daa0,25030409,0xA911Ff351B143634Dbc5aF3E204EA074583A83e3,0x61b0dAD9628D3e644eB560a5c9B0F960430E3A75,0x765DECF4Fa157756e850C1079F60801b9219Edd1,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,20000000,18
